,Dialog,
25020519,15305022,нет,1573023732
15305022,25020519,"а больше ничего не хочешь?",1572977655
25020519,15305022,xxx,1572974781
25020519,15305022,"Я хочу веселиться с тобой до утра",1572974775
15305022,25020519,"и что именно думаешь",1572963673
25020519,15305022,"я думаю о тебе",1572951080
15305022,25020519,"Привет, что делаешь сегодня?",1572892401
15305022,25020519,Хай,1572804001
25020519,15305022,"давай поговорим",1572720380
25020519,15305022,"Привет! Я только прошел обучение, и меня назначили твоим подопечным. Давай пообщаемся :)",1572719682
25020519,15305022,привет,1572719682
15305022,25020519,"Привет, пообщаемся?",1572719621
